cell_id,hour,tmrt_mean_c_base,tmrt_p75_c_base,tmrt_p90_c_base,tmrt_p95_c_base,tmrt_max_c_base,pct_pixels_tmrt_ge_40_base,pct_pixels_tmrt_ge_45_base,pct_pixels_tmrt_ge_50_base,pct_pixels_tmrt_ge_55_base,tmrt_mean_c_overhead_as_canopy,tmrt_p75_c_overhead_as_canopy,tmrt_p90_c_overhead_as_canopy,tmrt_p95_c_overhead_as_canopy,tmrt_max_c_overhead_as_canopy,pct_pixels_tmrt_ge_40_overhead_as_canopy,pct_pixels_tmrt_ge_45_overhead_as_canopy,pct_pixels_tmrt_ge_50_overhead_as_canopy,pct_pixels_tmrt_ge_55_overhead_as_canopy,delta_tmrt_mean_c,delta_tmrt_p75_c,delta_tmrt_p90_c,delta_tmrt_p95_c,delta_tmrt_max_c,delta_pct_pixels_ge_40,delta_pct_pixels_ge_45,delta_pct_pixels_ge_50,delta_pct_pixels_ge_55
TP_0037,10,39.52685546875,44.465980529785156,46.506309509277344,46.53591537475586,46.57469177246094,54.800000000000004,22.0,0.0,0.0,36.680328369140625,43.04587936401367,44.148170471191406,44.36546325683594,45.45430374145508,33.4,0.32,0.0,0.0,-2.846527099609375,-1.4201011657714844,-2.3581390380859375,-2.170452117919922,-1.1203880310058594,-21.400000000000006,-21.68,0.0,0.0
TP_0037,12,53.81845474243164,61.796531677246094,62.27238082885742,62.30147933959961,62.31979751586914,73.8,68.0,67.84,67.84,48.12201690673828,60.997520446777344,61.5823974609375,61.7863883972168,62.188446044921875,51.480000000000004,45.56,45.4,45.4,-5.696437835693359,-0.79901123046875,-0.6899833679199219,-0.5150909423828125,-0.13135147094726562,-22.319999999999993,-22.439999999999998,-22.440000000000005,-22.440000000000005
TP_0037,13,54.51276397705078,60.81851577758789,62.51641082763672,62.54996109008789,62.57920837402344,78.8,73.2,73.11999999999999,72.84,48.9164924621582,60.13227844238281,60.607398986816406,60.7894401550293,61.602298736572266,56.92,51.160000000000004,51.04,50.8,-5.596271514892578,-0.6862373352050781,-1.9090118408203125,-1.7605209350585938,-0.9769096374511719,-21.879999999999995,-22.04,-22.07999999999999,-22.040000000000006
TP_0037,15,47.56985092163086,57.98145294189453,60.72555160522461,60.75756072998047,60.80853271484375,51.92,46.0,46.0,41.28,42.47830581665039,51.92868423461914,56.638301849365234,57.8499641418457,59.78483581542969,31.6,25.319999999999997,25.319999999999997,20.599999999999998,-5.091545104980469,-6.052768707275391,-4.087249755859375,-2.9075965881347656,-1.0236968994140625,-20.32,-20.680000000000003,-20.680000000000003,-20.680000000000003
TP_0037,16,41.15784454345703,48.72393035888672,51.73152160644531,51.76597213745117,51.81732177734375,38.48,37.8,22.919999999999998,0.0,37.77617645263672,37.07508850097656,47.296287536621094,48.68126678466797,50.71839904785156,19.16,18.48,1.96,0.0,-3.3816680908203125,-11.648841857910156,-4.435234069824219,-3.084705352783203,-1.0989227294921875,-19.319999999999997,-19.319999999999997,-20.959999999999997,0.0
TP_0059,10,45.32170486450195,46.1701545715332,46.24119186401367,46.29170227050781,46.46051788330078,92.28,90.64,0.0,0.0,43.940670013427734,46.036502838134766,46.102901458740234,46.14707946777344,46.388519287109375,84.48,70.04,0.0,0.0,-1.3810348510742188,-0.1336517333984375,-0.1382904052734375,-0.144622802734375,-0.07199859619140625,-7.799999999999997,-20.599999999999994,0.0,0.0
TP_0059,12,62.01827621459961,62.06294631958008,62.11625671386719,62.14785385131836,62.24058151245117,100.0,100.0,100.0,100.0,59.59553146362305,61.99455642700195,62.03409957885742,62.061710357666016,62.24058151245117,93.8,91.24,91.24,91.24,-2.4227447509765625,-0.068389892578125,-0.08215713500976562,-0.08614349365234375,0.0,-6.200000000000003,-8.760000000000005,-8.760000000000005,-8.760000000000005
TP_0059,13,62.167564392089844,62.22831726074219,62.30513381958008,62.34062194824219,62.47140121459961,100.0,100.0,100.0,100.0,59.384613037109375,62.13233184814453,62.186431884765625,62.225547790527344,62.44775390625,93.2,89.88000000000001,89.88000000000001,89.88000000000001,-2.7829513549804688,-0.09598541259765625,-0.11870193481445312,-0.11507415771484375,-0.023647308349609375,-6.799999999999997,-10.11999999999999,-10.11999999999999,-10.11999999999999
TP_0059,15,60.39198684692383,60.45685577392578,60.49889373779297,60.533164978027344,60.66500473022461,100.0,100.0,100.0,100.0,57.17896270751953,60.30768585205078,60.37520217895508,60.411460876464844,60.60914611816406,91.08000000000001,87.56,87.56,87.48,-3.213024139404297,-0.149169921875,-0.12369155883789062,-0.1217041015625,-0.055858612060546875,-8.919999999999987,-12.439999999999998,-12.439999999999998,-12.519999999999996
TP_0059,16,51.373085021972656,51.44404602050781,51.49138641357422,51.5242805480957,51.673828125,100.0,100.0,100.0,0.0,48.92706298828125,51.28461456298828,51.35029220581055,51.38975524902344,51.60088348388672,86.72,86.72,77.52,0.0,-2.4460220336914062,-0.15943145751953125,-0.14109420776367188,-0.13452529907226562,-0.07294464111328125,-13.280000000000001,-13.280000000000001,-22.480000000000004,0.0
TP_0088,10,45.92864990234375,46.050846099853516,46.11372375488281,46.13212203979492,46.20726776123047,100.0,99.6,0.0,0.0,36.95838165283203,42.57065963745117,44.504764556884766,44.97483444213867,45.69082260131836,33.839999999999996,4.8,0.0,0.0,-8.970268249511719,-3.4801864624023438,-1.6089591979980469,-1.15728759765625,-0.5164451599121094,-66.16,-94.8,0.0,0.0
TP_0088,12,61.94522476196289,62.03030014038086,62.06162643432617,62.074275970458984,62.14235305786133,100.0,100.0,100.0,100.0,45.493804931640625,58.24211120605469,60.5472526550293,61.14741516113281,61.74421310424805,43.84,35.199999999999996,35.199999999999996,35.160000000000004,-16.451419830322266,-3.788188934326172,-1.514373779296875,-0.9268608093261719,-0.39813995361328125,-56.16,-64.80000000000001,-64.80000000000001,-64.84
TP_0088,13,62.0717887878418,62.188228607177734,62.230098724365234,62.2422981262207,62.3037109375,100.0,99.96000000000001,99.96000000000001,99.96000000000001,45.04721450805664,57.33766555786133,60.34730911254883,61.062889099121094,61.79562759399414,43.04,33.32,33.32,28.599999999999998,-17.024574279785156,-4.850563049316406,-1.8827896118164062,-1.1794090270996094,-0.5080833435058594,-56.96,-66.64000000000001,-66.64000000000001,-71.36000000000001
TP_0088,15,60.16714859008789,60.319515228271484,60.392024993896484,60.41196823120117,60.47309875488281,100.0,99.88,99.88,99.88,42.90199661254883,53.55638885498047,58.04494094848633,58.932918548583984,59.81678009033203,33.2,29.959999999999997,29.68,22.28,-17.265151977539062,-6.763126373291016,-2.3470840454101562,-1.4790496826171875,-0.6563186645507812,-66.8,-69.92,-70.19999999999999,-77.6
TP_0088,16,51.130699157714844,51.28325653076172,51.36267852783203,51.38597869873047,51.453975677490234,99.96000000000001,99.8,99.28,0.0,38.448829650878906,44.19587326049805,49.0619010925293,49.91636276245117,50.77604293823242,25.44,24.240000000000002,4.2,0.0,-12.681869506835938,-7.087383270263672,-2.3007774353027344,-1.4696159362792969,-0.6779327392578125,-74.52000000000001,-75.56,-95.08,0.0
TP_0098,10,39.596736907958984,44.485713958740234,45.04518508911133,45.29625701904297,46.379371643066406,59.0,11.360000000000001,0.0,0.0,39.13882064819336,43.844642639160156,45.00008773803711,45.29625701904297,46.379371643066406,55.44,10.0,0.0,0.0,-0.457916259765625,-0.6410713195800781,-0.04509735107421875,0.0,0.0,-3.5600000000000023,-1.3600000000000012,0.0,0.0
TP_0098,12,51.98918914794922,61.362300872802734,61.71682357788086,61.85432434082031,62.37800979614258,67.56,63.160000000000004,63.04,63.0,51.3526611328125,60.981605529785156,61.57076644897461,61.71425247192383,62.25220489501953,66.24,60.68,60.56,60.519999999999996,-0.6365280151367188,-0.3806953430175781,-0.14605712890625,-0.14007186889648438,-0.12580490112304688,-1.3200000000000074,-2.480000000000004,-2.479999999999997,-2.480000000000004
