candidate_id,candidate_role,candidate_family,regime_variable,regime_bin,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,n_ge31_false_alarm,ge31_miss_rate_among_observed,mean_official_wbgt_c,mean_prediction_wbgt_c,mean_residual_official_minus_pred_c,median_residual_official_minus_pred_c,p75_residual_official_minus_pred_c,p90_residual_official_minus_pred_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c
M4_inertia_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,other,1392,0,0,0,0,0,,25.72456896551724,25.715966893935992,0.008602071581248445,0.011884880320437219,0.4975209272636114,0.8067096926412178,0.5356593267876295,1.1197628314377899,2.2188581817531947
M4_inertia_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,highradiation_not_hot,298,4,0,0,4,0,1.0,27.216107382550334,26.892341828476102,0.32376555407423346,0.266022377073023,0.83986846271244,1.673575607322199,0.8346123213951918,1.845970694339219,3.8470073791998374
M4_inertia_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,radiation_hot,1518,404,290,194,210,96,0.5198019801980198,29.310935441370223,29.157722104120825,0.15321333724940084,0.08972556990744529,0.9013819885281116,1.6614987156971337,0.9040179426310856,1.9206243475455074,3.950796573636591
M4_inertia_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,hot_not_highradiation,140,0,0,0,0,0,,26.359999999999996,26.347597128159244,0.012402871840757054,0.07888528599998601,0.4603893661884557,0.6752832325647965,0.46551803288530585,1.0209754720963677,1.7435361727376915
M7_compact_weather_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,other,1125,0,0,0,0,0,,25.728444444444445,25.726409831983773,0.0020346124606729207,0.071513183480711,0.525235012495834,0.8149853576419454,0.5500272869529563,1.0734032696920814,2.6310416951053313
M7_compact_weather_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,highradiation_not_hot,533,4,0,0,4,0,1.0,26.443339587242026,26.443728550562174,-0.00038896332014649046,-0.02332612406440049,0.42942953057119837,1.006347154960983,0.6284593474030159,1.3112427986566653,3.3195008902252354
M7_compact_weather_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,radiation_hot,1553,404,357,231,173,126,0.4282178217821782,29.265421764327108,29.333453352111796,-0.06803158778468536,-0.17287098285503433,0.5911151804649393,1.6254289218750433,0.9475090529250842,2.0732527074264944,5.146123153269606
M7_compact_weather_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,hot_not_highradiation,137,0,0,0,0,0,,26.389781021897807,26.276808342286763,0.11297267961104784,0.14183073407325608,0.6405822295626855,0.9299977939182916,0.5744129228190197,1.1182106485064895,2.2508549444941686
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,combined_radiation_hot_regime,other,706,0,0,0,0,0,,25.734985835694047,25.241035645611227,0.49395019008282326,0.46884010849229085,0.8389744719889896,1.229065925519743,0.6033577327034424,1.232134855514703,2.558340896106742
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,combined_radiation_hot_regime,highradiation_not_hot,155,2,0,0,2,0,1.0,27.294838709677425,25.80019103869879,1.4946476709786254,0.959646380239743,2.6328758714989533,3.7081993737028824,1.5485383705763338,3.7081993737028824,5.153314769972351
